team_id;team_name;country_code;country_name;city_name
1;UC Sampdoria;ITA;Italy;Sampdoria
2;Red Star Belgrade;SRB;Serbia;Belgrade
3;RSC Anderlecht;BEL;Belgium;Brussels
4;Panathinaikos AO;GRC;Greece;Athens
5;FC Barcelona;ESP;Spain;Barcelona
6;Sparta Prague;CZE;Czech;Prague
7;SL Benfica;PRT;Portugal;Lisbon
8;Dynamo Kyiv;UKR;Ukraine;Kyiv
9;Olympique Marseille;FRA;France;Marseille
10;Rangers F.C.;GBR;Scotland;Glasgow
11;Club Brugge;BEL;Belgium;Brugge
12;CSKA Moscow;RUS;Russia;Moscow
13;A.C. Milan;ITA;Italy;Milan
14;IFK Goteborg;SWE;Sweden;Goteborg
15;FC Porto;PRT;Portugal;Porto
16;PSV Eindhoven;NLD;Netherlands;Eindhoven
17;Spartak Moscow;RUS;Russia;Moscow
18;AS Monaco;FRA;France;Monacco
19;Galatasaray SK;TUR;Turkey;Stambul
20;Werder Bremen;DEU;Germany;Bremen
21;AEK Athens;GRC;Greece;Athens
22;Manchester United F.C.;GBR;England;Manchester
23;Paris Saint-Germain F.C.;FRA;France;Paris
24;FC Bayern Munich;DEU;Germany;Munich
25;Hajduk Split;HRV;Croatia;Split
26;CSA Steaua Bucuresti;ROU;Romania;Bucharest
27;Ajax Amsterdam;NLD;Netherlands;Amsterdam
28;Casino Salzburg;AUT;Austria;Salzburg
29;FC Nantes;FRA;France;Nantes
30;AaB Aalborg;DNK;Denmark;Aalborg
31;Legia Warsaw;POL;Poland;Warsaw
32;Rosenborg BK;NOR;Norway;Trondheim
33;Blackburn Rovers;GBR;England;Blackburn
34;Juventus F.C.;ITA;Italy;Turin
35;Borussia Dortmund;DEU;Germany;Dortmund
36;Real Madrid;ESP;Spain;Madrid
37;Ferencvaros TC;HUN;Hungary;Ferencvaros
38;Grasshopper Club Zurich;CHE;Switzerland;Zurich
39;Fenerbahce SK;TUR;Turkey;Stambul
40;Atletico Madrid;ESP;Spain;Madrid
41;AJ Auxerre;FRA;France;Auxerre
42;Widzew Lodz;POL;Poland;Lodz
43;Rapid Wien;AUT;Austria;Vienna
44;Sporting CP;PRT;Portugal;Lisbon
45;Besiktas JK;TUR;Turkey;Stambul
46;AC Parma;ITA;Italy;Parma
47;Feyenoord Rotterdam;NLD;Netherlands;Rotterdam
48;FC Kosicee;SVK;Slovakia;Kosicee
49;Newcastle United F.C.;GBR;England;Newcastle
50;Olympiacos SFP;GRC;Greece;Pireus
51;Bayer Leverkusen;DEU;Germany;Leverkusen
52;Lierse SK;BEL;Belgium;Lier
53;Inter Mediolan;ITA;Italy;Milan
54;Dinamo Zagreb;HRV;Croatia;Zagreb
55;Athletic Bilbao;ESP;Spain;Bilbao
56;Sturm Graz;AUT;Austria;Graz
57;Brondby IF;DNK;Denmark;Copenhagen
58;RC Lens;FRA;France;Lens
